,name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
63,더드림핑 글램핑,0,1,0,279000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
64,더드림핑 글램핑,1,1,0,286500,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,4
65,더드림핑 글램핑,1,1,0,286500,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,2,4
66,더드림핑 글램핑,1,1,0,379000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4
67,더드림핑 글램핑,1,1,0,379000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,4
68,하늘숲글램핑,0,1,1,117525,4.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
69,하늘숲글램핑,1,1,1,132000,4.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,5
70,산중호걸 글램핑카라반,0,1,1,71500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0,6,0,37,0,0,0,0,0,28,0,0,17,14,0,0,21,0,0,20,0,25,2,9,0,29,14,5,0,2,5
71,산중호걸 글램핑카라반,1,1,1,237750,4.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,0,0,12,0,37,0,0,0,0,0,32,0,0,20,44,0,0,30,0,0,11,0,26,0,6,0,14,2,5,0,2,5
72,산중호걸 글램핑카라반,1,1,1,237750,4.88,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,8,0,34,0,0,0,0,0,33,0,1,12,38,0,0,25,0,0,9,0,26,1,5,0,7,3,6,0,2,5
73,산중호걸 글램핑카라반,1,1,1,237750,4.93,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,0,0,5,0,35,0,0,0,0,0,42,0,0,12,44,0,0,34,0,0,15,0,32,1,8,0,16,9,8,0,2,5
74,산중호걸 글램핑카라반,1,1,1,237750,4.81,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,2,0,28,0,0,0,0,0,30,0,0,9,31,0,0,20,0,0,10,0,25,0,3,1,10,4,3,0,2,5
75,산중호걸 글램핑카라반,1,1,1,237750,4.84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,4,0,25,0,0,0,0,0,28,0,0,11,32,0,0,24,0,0,6,0,32,1,3,0,5,2,8,0,2,5
76,산중호걸 글램핑카라반,1,1,1,204000,4.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,3,0,28,0,0,0,0,0,35,0,0,10,37,0,0,19,0,0,3,0,15,3,15,0,16,3,5,0,2,6
77,산중호걸 글램핑카라반,1,1,1,219000,4.85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,4,0,30,0,0,0,0,0,29,0,0,8,35,0,0,18,0,0,7,0,23,1,12,0,7,5,4,0,2,6
78,산중호걸 글램핑카라반,1,1,1,196500,4.88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,4,0,32,0,0,0,0,0,39,0,1,10,38,0,0,26,0,0,7,0,24,1,12,0,11,5,7,0,2,6
79,산중호걸 글램핑카라반,1,1,1,196500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,0,0,6,0,42,0,0,0,0,0,61,0,0,21,64,0,0,38,0,0,16,0,35,3,14,0,13,16,12,0,2,6
80,산중호걸 글램핑카라반,1,1,1,196500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0,0,8,1,41,0,0,0,0,0,51,0,0,15,56,0,0,32,0,0,22,0,29,1,15,0,15,8,11,0,2,6
81,산중호걸 글램핑카라반,1,1,1,219000,4.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,5,1,30,0,0,1,0,1,35,0,1,8,38,0,0,25,0,0,11,0,35,1,9,0,13,5,4,0,2,6
