name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
씨엘관광농원글램핑,글램핑C-4,1,경기 안산시 단원구 대부황금로 976,177500,4.24,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,4,0,0,1,0,1,0,0,0,0,0,4,0,0,2,3,0,0,6,0,0,1,0,1,0,1,0,1,1,1,0,2,4
씨엘관광농원글램핑,글램핑C-5,1,경기 안산시 단원구 대부황금로 976,177500,4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,4
씨엘관광농원글램핑,글램핑C-6,1,경기 안산시 단원구 대부황금로 976,177500,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,2,0,1,0,2,4
새연 카라반 글램핑 설악2호점,* 폴딩도어카라반 *개별화장실,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,226500,4.43,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,88,5,0,21,0,108,1,0,0,0,1,63,0,6,24,64,0,1,33,0,0,54,0,110,37,30,4,72,7,13,0,2,5
새연 카라반 글램핑 설악2호점,*오페라글램핑 *,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,194000,4.43,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,0,0,17,1,43,0,0,0,0,0,24,0,1,10,17,0,0,10,0,0,19,0,44,16,15,0,33,2,6,0,2,4
새연 카라반 글램핑 설악2호점,*카바나글램핑*,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,209000,4.43,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,79,7,0,24,2,101,0,0,0,1,1,49,2,6,35,70,1,2,25,0,0,44,0,102,42,35,3,82,3,8,0,2,4
새연 카라반 글램핑 설악2호점,* 계곡복층형글램핑*,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,201500,4.43,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,1,0,3,0,17,0,0,0,0,0,18,0,0,7,12,0,0,8,0,0,11,0,21,6,7,0,20,4,3,0,2,3
새연 카라반 글램핑 설악2호점,* 복층형글램핑A형*,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,180250,4.43,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,6,0,32,0,0,0,0,0,20,0,0,8,11,0,0,11,0,0,13,0,22,6,11,0,17,2,3,0,2,3
새연 카라반 글램핑 설악2호점,*복층형글램핑B형*,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,177750,4.43,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,1,0,3,0,13,0,0,0,0,0,6,0,1,6,11,0,0,7,0,0,7,0,16,4,4,1,15,1,3,0,2,3
새연 카라반 글램핑 설악2호점,*사랑채글램핑*,1,경기 가평군 설악면 유명로 1939 새연리조트 설악2호점,184000,4.43,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,1,0,8,0,20,0,0,0,0,1,10,0,1,7,11,0,0,2,0,0,6,0,17,2,6,0,10,0,1,0,2,4
